# ----------------------------------------
# www.nikita.SaysHi - GA4
# ftd_attempted-Keywords from Google Ads
# 20240301-20240312
# ----------------------------------------

Date,First user Google Ads keyword text,Campaign,Source/Medium,FTD Attempted User ID,Total users,Event value,
,,,,,124,124142,Grand total,
20240303,momomo,betting,lalalala.be / referral,12347879,2,3935
20240306,(not set),betting,lalalala.be / referral,12348646,1,2141
20240309,(not set),(organic),lalalala.be / referral,12346515,2,607
20240310,(not set),(organic),lalalala.be / referral,12346981,2,635
20240306,momomo,(organic),google / cpc,12348449,2,1038
20240306,(not set),betting,lalalala.be / referral,12346115,2,3369
20240308,(not set),(direct),(direct) / (none),12345917,2,2536
20240308,(not set),(direct),lalalala.be / referral,12348024,1,239
20240301,dododo,(organic),(direct) / (none),12349523,2,1086
20240306,(not set),betting,(direct) / (none),12346956,1,3115
20240311,lalala,(direct),google / organic,12347956,1,330
20240304,(not set),(direct),lalalala.be / referral,12346604,2,780
20240309,lalala,betting,(direct) / (none),12348577,1,3978
20240303,dododo,betting,google / cpc,12346109,2,658
20240310,dododo,betting,google / organic,12345747,2,2249
20240309,lalala,(direct),google / cpc,12345843,1,3559
20240305,lalala,(organic),lalalala.be / referral,12348738,1,3357
20240302,(not set),betting,lalalala.be / referral,12348139,2,2949
20240308,lalala,betting,google / cpc,12349479,1,1536
20240308,momomo,(organic),google / organic,12347640,1,1647
20240304,lalala,betting,lalalala.be / referral,12348846,2,1671
20240308,momomo,(direct),google / organic,12347050,1,2438
20240304,(not set),betting,lalalala.be / referral,12347280,1,894
20240312,dododo,(direct),lalalala.be / referral,12349243,2,3695
20240310,lalala,(organic),google / organic,12349577,1,532
20240309,(not set),(organic),(direct) / (none),12347267,1,2466
20240312,lalala,(direct),google / cpc,12349179,1,1945
20240312,(not set),(organic),google / cpc,12349317,2,3772
20240305,momomo,(direct),lalalala.be / referral,12347210,2,3732
20240308,lalala,(direct),google / cpc,12347967,1,2852
20240306,momomo,(organic),(direct) / (none),12346414,1,494
20240302,momomo,betting,google / cpc,12349556,1,650
20240302,momomo,(organic),google / organic,12349873,2,1069
20240310,lalala,(organic),google / organic,12347544,2,2247
20240307,lalala,(organic),google / organic,12345723,2,1153
20240306,momomo,(direct),(direct) / (none),12348245,2,2448
20240306,(not set),betting,(direct) / (none),12349334,2,3648
20240306,(not set),(direct),google / cpc,12345885,1,3148
20240304,(not set),(organic),lalalala.be / referral,12348305,2,388
20240305,(not set),(direct),lalalala.be / referral,12346731,1,2829
20240301,(not set),(organic),lalalala.be / referral,12349427,1,18
20240312,momomo,betting,(direct) / (none),12346067,1,104
20240310,(not set),betting,google / cpc,12349153,1,3567
20240307,momomo,(direct),google / organic,12347995,1,2585
20240310,(not set),(organic),(direct) / (none),12346864,1,3159
20240312,momomo,(organic),lalalala.be / referral,12349320,1,240
20240309,lalala,(organic),(direct) / (none),12346358,2,3354
20240312,lalala,(direct),lalalala.be / referral,12349196,2,3232
20240312,(not set),(organic),google / organic,12348862,1,2075
20240309,lalala,betting,google / cpc,12346037,2,3302
20240304,lalala,betting,lalalala.be / referral,12346437,1,2407
20240307,(not set),(direct),lalalala.be / referral,12348266,1,1714
20240308,momomo,(organic),(direct) / (none),12347569,2,2805
20240301,momomo,(direct),google / cpc,12349734,1,3057
20240301,momomo,(organic),(direct) / (none),12348043,2,2613
20240306,(not set),(organic),(direct) / (none),12347441,1,2309
20240309,(not set),betting,(direct) / (none),12346086,2,3624
20240301,lalala,(organic),google / cpc,12347373,1,365
20240311,dododo,betting,google / organic,12346639,2,215
20240312,lalala,(organic),google / organic,12347145,2,4000
20240312,(not set),(direct),lalalala.be / referral,12345935,1,77
20240309,(not set),(organic),(direct) / (none),12349694,2,4
20240311,(not set),(organic),google / organic,12349339,1,1955
20240306,(not set),betting,google / cpc,12348957,1,1887
20240306,(not set),(organic),google / organic,12346499,2,3915
20240305,(not set),(direct),google / organic,12346696,1,879
20240304,momomo,betting,(direct) / (none),12345683,1,1054
20240312,dododo,(organic),google / organic,12349516,1,2003
20240304,lalala,betting,google / cpc,12347542,2,937
20240309,momomo,betting,google / cpc,12349942,1,3786
20240302,lalala,(direct),lalalala.be / referral,12348764,2,58
20240310,momomo,(organic),google / organic,12349129,2,3954
20240301,dododo,(direct),google / organic,12347562,2,2781
20240301,momomo,betting,(direct) / (none),12347596,1,2846
20240301,lalala,betting,google / cpc,12347519,1,3359
20240306,dododo,betting,lalalala.be / referral,12346576,2,67
20240312,dododo,betting,google / cpc,12347908,1,2478
20240303,dododo,(organic),lalalala.be / referral,12348110,1,1791
20240306,lalala,betting,google / cpc,12348740,1,217
20240301,momomo,betting,google / cpc,12347064,1,1642
20240312,lalala,(organic),lalalala.be / referral,12346473,2,3154
20240308,momomo,(organic),google / organic,12345913,1,217
20240311,dododo,betting,(direct) / (none),12346713,1,1483
20240306,momomo,(direct),(direct) / (none),12345748,1,162
20240301,momomo,(organic),google / organic,12347405,1,673
20240309,dododo,(organic),lalalala.be / referral,12347462,1,3051
20240301,lalala,betting,lalalala.be / referral,12347546,1,2497
20240302,(not set),betting,google / cpc,12348311,2,3651
20240304,dododo,(organic),(direct) / (none),12349011,2,3707
20240310,(not set),(direct),(direct) / (none),12346106,1,711
20240309,(not set),betting,google / organic,12347212,1,2035
20240307,lalala,(direct),lalalala.be / referral,12346321,1,1878
20240306,(not set),(organic),(direct) / (none),12346659,1,3147
20240302,momomo,(direct),lalalala.be / referral,12349935,1,548
20240303,dododo,betting,lalalala.be / referral,12349048,2,1399
20240301,lalala,betting,lalalala.be / referral,12349941,1,2208
20240308,(not set),(organic),google / organic,12346421,2,335
20240308,(not set),(direct),lalalala.be / referral,12346771,2,21
20240306,(not set),(direct),(direct) / (none),12345829,1,3522
20240309,dododo,betting,lalalala.be / referral,12345823,2,1616
